date,repo,childSha,parentSha,childBranch,newHitLines,newNonHitLines,newFileHitLines,newFileNonHitLines,deletedLinesTested,deletedLinesNotTested,deletedFileLinesTested,deletedFileLinesNotTested,oldLinesNewlyTested,oldLinesNoLongerTested,modifiedLinesNewlyHit,modifiedLinesStillHit,modifiedLinesNotHit,nStatementsInBoth,nStatementsInEither,totalStatementsHitNow,totalStatementsHitPrev,totalStatementsNow,totalStatementsPrev,test_newHitLines,test_newNonHitLines,test_newFileHitLines,test_newFileNonHitLines,test_deletedLinesTested,test_deletedLinesNotTested,test_deletedFileLinesTested,test_deletedFileLinesNotTested,test_oldLinesNewlyTested,test_oldLinesNoLongerTested,test_modifiedLinesNewlyHit,test_modifiedLinesStillHit,test_modifiedLinesNotHit,test_nStatementsInBoth,test_nStatementsInEither,test_totalStatementsHitNow,test_totalStatementsHitPrev,test_totalStatementsNow,test_totalStatementsPrev,src_newHitLines,src_newNonHitLines,src_newFileHitLines,src_newFileNonHitLines,src_deletedLinesTested,src_deletedLinesNotTested,src_deletedFileLinesTested,src_deletedFileLinesNotTested,src_oldLinesNewlyTested,src_oldLinesNoLongerTested,src_modifiedLinesNewlyHit,src_modifiedLinesStillHit,src_modifiedLinesNotHit,src_nStatementsInBoth,src_nStatementsInEither,src_totalStatementsHitNow,src_totalStatementsHitPrev,src_totalStatementsNow,src_totalStatementsPrev
2017-03-07 02:31:56,square-retrofit,db680757d19b9c3b608f70fa475a1c0953b048e3,39fcdb46e07f2f14319a4031d86bf8f3dbd1d405,master,0,0,0,0,0,0,0,0,0,0,0,0,0,6344,6344,6344,6344,9292,9292,0,0,0,0,0,0,0,0,0,0,0,0,0,4737,4737,4737,4737,6451,6451,0,0,0,0,0,0,0,0,0,0,0,0,0,1607,1607,1607,1607,2841,2841
2016-10-15 21:16:27,square-retrofit,32ace0894882a98f56cd509fee1bcc7dff804347,d0571339b826a9fcbb7b310718073ce24c83f1fc,master,0,0,0,0,0,0,0,0,0,0,0,0,0,4331,4331,4331,4331,6910,6910,0,0,0,0,0,0,0,0,0,0,0,0,0,3094,3094,3094,3094,4564,4564,0,0,0,0,0,0,0,0,0,0,0,0,0,1237,1237,1237,1237,2346,2346
2016-03-30 13:53:27,square-retrofit,cb57627bbd2eff6126a66777f00c74e8ca9ec624,1b05fc9777e5cff4a2396d7cc81e7680f17203a0,master,9,74,0,0,0,2,0,0,0,0,0,0,0,4099,4108,4108,4099,6573,6492,9,54,0,0,0,0,0,0,0,0,0,0,0,2836,2845,2845,2836,4228,4165,0,20,0,0,0,2,0,0,0,0,0,0,0,1263,1263,1263,1263,2345,2327
2016-06-06 16:10:18,square-retrofit,e6c716950c9d3f954a5614772499ee7845f92c03,28d350d99430c87b4ada7d1aa9e08c96884cb388,master,32,22,0,0,4,2,0,0,0,0,0,0,0,4221,4257,4253,4225,6794,6742,24,12,0,0,2,0,0,0,0,0,0,0,0,2946,2972,2970,2948,4398,4362,8,10,0,0,2,2,0,0,0,0,0,0,0,1275,1285,1283,1277,2396,2380
2016-08-17 15:22:08,square-retrofit,54ccadd0a5428475c3aa89b4478429abb6ea3c67,8345983fbf3ffb79f34e57ce93b63b8cd585cff0,master,11,0,88,10,75,4,42,6,2,0,0,0,0,4190,4368,4291,4267,6865,6760,0,0,0,0,0,0,0,0,0,0,0,0,0,3019,3019,3019,3019,4482,4482,11,0,88,10,75,4,42,6,2,0,0,0,0,1171,1349,1272,1248,2383,2278
2016-11-22 18:45:19,square-retrofit,777b520523ceb85e8d2aba1b4964352d1ed1c35c,93e2d1e0460b9f19b03036baaa6f554dcb6441dc,master,0,0,0,0,0,26,0,0,0,0,0,0,0,5731,5731,5731,5731,8426,8454,0,0,0,0,0,0,0,0,0,0,0,0,0,4323,4323,4323,4323,5904,5904,0,0,0,0,0,26,0,0,0,0,0,0,0,1408,1408,1408,1408,2522,2550
2016-08-16 13:39:10,square-retrofit,999c72be0468664c711159cd53deff79e62ee4a1,ec0635c603f85fe8217691f94769419db4f3c1c0,master,78,0,97,3,51,24,87,0,3,0,0,0,0,4130,4359,4308,4181,6882,6728,75,0,97,3,50,24,87,0,0,0,0,0,0,2847,3069,3019,2897,4482,4331,3,0,0,0,1,0,0,0,3,0,0,0,0,1283,1290,1289,1284,2400,2397
2017-05-11 18:23:18,square-retrofit,e985d5522462cdd759267b32e7f5212acef9580c,9d621ff8c512d5e28cb760ad62edfa2d3fe40292,master,2,0,68,2,0,0,0,0,0,0,0,0,0,6352,6422,6422,6352,9373,9301,0,0,42,0,0,0,0,0,0,0,0,0,0,4746,4788,4788,4746,6502,6460,2,0,26,2,0,0,0,0,0,0,0,0,0,1606,1634,1634,1606,2871,2841
2016-08-21 01:33:32,square-retrofit,e02fb37616277cf19eed0d2fabc6e9aae61c0f01,5d87e5c18ede964adc3d1fdc3366111e9baba1cc,master,4,0,0,0,0,0,0,0,0,0,0,0,0,4565,4569,4569,4565,7180,7176,0,0,0,0,0,0,0,0,0,0,0,0,0,3273,3273,3273,3273,4773,4773,4,0,0,0,0,0,0,0,0,0,0,0,0,1292,1296,1296,1292,2407,2403
2016-03-11 21:10:36,square-retrofit,2bdf6e9f72049947a4153d39cf9d1d8fe8b4cf8f,83567819cb1cf52dad6e8ee6ce2c0fd5d47bef7c,master,0,0,0,0,0,0,0,0,0,0,0,0,0,4050,4050,4050,4050,6384,6384,0,0,0,0,0,0,0,0,0,0,0,0,0,2806,2806,2806,2806,4123,4123,0,0,0,0,0,0,0,0,0,0,0,0,0,1244,1244,1244,1244,2261,2261
