repo,childSha,parentSha,childBranch,timestamp,newHitLines,newNonHitLines,newFileHitLines,newFileNonHitLines,deletedLinesTested,deletedLinesNotTested,deletedFileLinesTested,deletedFileLinesNotTested,oldLinesNewlyTested,oldLinesNoLongerTested,modifiedLinesNewlyHit,modifiedLinesStillHit,modifiedLinesNotHit,nStatementsInBoth,nStatementsInEither,totalStatementsHitNow,totalStatementsHitPrev,totalStatementsNow,totalStatementsPrev,insFilesSrc,insFilesTest,modFilesSrc,modFilesTest,delFilesSrc,delFilesTest,newLinesSrc,newLinesTest,delLinesSrc,delLinesTest,insLinesAllFiles,delLinesAllFiles
ManageIQ/ui-components,a54e285ae28dcb39a6b6699c6fe2c41a7fca29b4,690dd79a127522b98dc191ece6798ec428ec2dd7,master,1517918704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,6,236,6,0,242,6
ManageIQ/ui-components,690dd79a127522b98dc191ece6798ec428ec2dd7,6286f9e8751b362bb2e97aec4bbde91958e75c95,master,1517841737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ManageIQ/ui-components,6286f9e8751b362bb2e97aec4bbde91958e75c95,ee74ce2714b22c78ada3308801c362b85dd42d7b,master,1516896877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,5,0,0,0,533,17,2,0,981,2
ManageIQ/ui-components,ee74ce2714b22c78ada3308801c362b85dd42d7b,3a3b0f2fe308eaf0976934d721635d369035b9d4,gaprindashvili,1516884101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ManageIQ/ui-components,3a3b0f2fe308eaf0976934d721635d369035b9d4,18d5c4cae4521082cafaca0d9d5e473f78af4376,master,1516809895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ManageIQ/ui-components,18d5c4cae4521082cafaca0d9d5e473f78af4376,50f529ead1d5994e5d0a3a90bcaaf761f3d57a3f,master,1516712618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
ManageIQ/ui-components,50f529ead1d5994e5d0a3a90bcaaf761f3d57a3f,30440a27ee72c8b126036d0d09df82ec16fb4d9e,master,1516712431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,7,5,3,2,12,5
ManageIQ/ui-components,30440a27ee72c8b126036d0d09df82ec16fb4d9e,46dcd68b800a1a11ff5728859b93ba6da80f7779,master,1516634738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1
ManageIQ/ui-components,46dcd68b800a1a11ff5728859b93ba6da80f7779,c0c413c1d2c98c37078772e32d1a9dda846666ff,master,1516630517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,3,2,3,8,8
ManageIQ/ui-components,c0c413c1d2c98c37078772e32d1a9dda846666ff,d82cb83492b8412aa6357a4206a54521cac7dac4,master,1516396697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6
ManageIQ/ui-components,d82cb83492b8412aa6357a4206a54521cac7dac4,924b17832ed7992aed241009a58fdcdd76ae3080,master,1516359192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
